"TOA5","Coopevega","CR200X","18977","CR200X.Std.04","CVG15062021.CR2","54234","Horarios"
"TIMESTAMP","RECORD","ESTACION","TEMP_C_Avg","RH_Avg","LLUV_mm_Tot","VOLT_BAT_Max","VOLT_BAT_Min","RH_caja_Max","muestreoScan_Tot","Td_Avg","es_Avg","TEMP_C_Std","RH_Std"
"TS","RN","","Deg C","%","mm","Volts","Volts","%","","Deg C","hPa","Deg C","%"
"","","Smp","Avg","Avg","Tot","Max","Min","Max","Tot","Avg","Avg","Std","Std"
"2022-07-10 05:00:00",9348,69739,21.8981,99.9033,0,12.67385,12.58487,11.50337,1200,21.82848,26.28435,0.07581429,0.06592098
"2022-07-10 06:00:00",9349,69739,21.7942,99.90528,0,12.72338,12.58906,11.52931,1200,21.72497,26.1182,0.07033658,0.06989656
"2022-07-10 07:00:00",9350,69739,22.21908,99.90704,0,13.11959,12.66042,11.62089,1200,22.14972,26.80446,0.1669019,0.06900807
"2022-07-10 08:00:00",9351,69739,22.95277,98.16885,0,13.23963,12.97353,9.584866,1200,22.59087,28.0308,0.407829,1.421431
"2022-07-10 09:00:00",9352,69739,23.96664,95.03497,0,13.2262,13.09608,9.093412,1200,23.06507,29.79342,0.2992656,0.9343323
"2022-07-10 10:00:00",9353,69739,25.1876,91.43681,0.6,13.20102,13.06167,9.145305,1200,23.62805,32.06194,0.6020056,2.487148
"2022-07-10 11:00:00",9354,69739,27.91276,80.10942,0,13.16324,13.0155,7.196281,1200,24.08671,37.6633,0.8846951,3.398174
"2022-07-10 12:00:00",9355,69739,29.22413,72.96594,0.2,13.1389,13.00543,8.458491,1200,23.80948,40.59578,0.2558962,1.930018
"2022-07-10 13:00:00",9356,69739,29.87181,69.69465,0,13.13638,13.00543,8.56533,1200,23.66431,42.13974,0.3226564,2.163054
"2022-07-10 14:00:00",9357,69739,26.09473,88.09838,1.8,13.12547,12.94247,11.68651,1200,23.71241,34.17809,2.628064,12.18937
