"TOA5","Coopevega","CR200X","18977","CR200X.Std.04","CVG15062021.CR2","54234","Diarios"
"TIMESTAMP","RECORD","ESTACION","TEMP_C_Max","TEMP_C_TMx","RH_Max","RH_TMx","TEMP_C_Min","TEMP_C_TMn","RH_Min","RH_TMn","Acum5_Max","Acum10_Max","Acum15_Max","Acum30_Max","LLUV_mm_Tot","Acum60_Max","Acum120_Max"
"TS","RN","","Deg C","Deg C","%","%","Deg C","Deg C","%","%","mm","mm","mm","mm","mm","mm","mm"
"","","Smp","Max","TMx","Max","TMx","Min","TMn","Min","TMn","Max","Max","Max","Max","Tot","Max","Max"
"2022-08-19 07:00:00",429,69739,31.93839,"2022-08-18 12:05:27",100,"2022-08-19 04:19:45",22.6893,"2022-08-19 04:33:39",56.58429,"2022-08-18 12:01:57",0,0,0,0,0,0,0
"2022-08-20 07:00:00",430,69739,32.16579,"2022-08-19 13:01:51",100,"2022-08-20 00:23:09",22.17037,"2022-08-20 05:05:27",50.2946,"2022-08-19 12:56:06",0.2,0.2,0.2,0.2,0.2,0.2,0.2
"2022-08-21 07:00:00",431,69739,32.14138,"2022-08-20 14:09:09",100,"2022-08-21 00:21:48",21.67586,"2022-08-21 01:58:33",49.66121,"2022-08-20 13:21:57",4.2,7,8.4,11,10.99999,11,11
"2022-08-22 07:00:00",432,69739,28.98967,"2022-08-21 11:41:54",100,"2022-08-21 07:00:36",21.24699,"2022-08-22 04:58:15",72.42068,"2022-08-21 10:01:42",2.4,3,3.6,3.8,5,4.2,4.2
"2022-08-23 07:00:00",433,69739,31.60871,"2022-08-22 13:49:00",100,"2022-08-22 07:00:15",21.5736,"2022-08-23 03:50:30",55.5037,"2022-08-22 13:17:45",0,0,0,0,0,0,0
"2022-08-24 07:00:00",434,69739,30.25494,"2022-08-23 11:47:54",100,"2022-08-23 07:00:12",21.83307,"2022-08-24 05:50:06",63.97745,"2022-08-23 11:45:27",0.2,0.2,0.2,0.2,0.2,0.2,0.2
"2022-08-25 07:00:00",435,69739,29.81232,"2022-08-24 12:46:18",100,"2022-08-24 07:00:06",21.11573,"2022-08-24 13:50:30",64.00951,"2022-08-24 11:22:21",8.200001,11.8,15.6,23.4,26.60002,25,25
"2022-08-26 07:00:00",436,69739,31.16915,"2022-08-25 15:01:54",100,"2022-08-25 21:57:36",21.48508,"2022-08-26 04:26:21",58.35474,"2022-08-25 14:59:54",0.2,0.2,0.2,0.2,0.2,0.2,0.2
"2022-08-27 07:00:00",437,69739,30.98447,"2022-08-26 11:12:06",100,"2022-08-26 07:00:27",22.35505,"2022-08-27 00:42:30",59.94662,"2022-08-26 15:23:42",6,7.8,8.2,8.2,10.4,8.2,8.2
"2022-08-28 07:00:00",438,69739,27.294,"2022-08-27 08:53:06",100,"2022-08-27 07:00:12",20.62275,"2022-08-28 05:33:27",83.38528,"2022-08-27 13:15:30",5,5.8,6.8,8.6,26.20002,11.4,16.4
"2022-08-29 07:00:00",439,69739,31.18136,"2022-08-28 12:24:36",100,"2022-08-28 07:00:27",20.77691,"2022-08-29 05:33:24",61.21188,"2022-08-28 11:28:30",2.4,3.6,4,5.6,5.8,5.6,5.8
"2022-08-30 07:00:00",440,69739,30.82269,"2022-08-29 11:49:30",100,"2022-08-29 07:01:00",20.90205,"2022-08-30 05:39:03",56.55986,"2022-08-29 11:54:48",0.6,0.8,1,1.8,5,2.8,3.800001
"2022-08-31 07:00:00",441,69739,31.28973,"2022-08-30 15:06:51",100,"2022-08-30 07:00:24",21.04247,"2022-08-31 06:02:24",56.0272,"2022-08-30 15:12:57",0.4,0.4,0.6,0.8,2.4,1.4,2
"2022-09-01 07:00:00",442,69739,31.3523,"2022-08-31 14:20:39",100,"2022-08-31 07:00:54",21.57513,"2022-09-01 04:42:33",58.83703,"2022-08-31 14:21:12",11.8,21,26.4,29,44.60009,37.59999,41.2
"2022-09-02 07:00:00",443,69739,30.83491,"2022-09-01 12:22:51",100,"2022-09-01 07:00:09",21.79796,"2022-09-01 07:00:09",62.97318,"2022-09-01 12:49:45",0,0,0,0,0,0,0
"2022-09-03 07:00:00",444,69739,29.67037,"2022-09-02 13:20:57",100,"2022-09-02 07:00:36",22.02079,"2022-09-03 06:59:54",70.91274,"2022-09-02 11:29:00",10,18.4,23.8,38.4,92.99979,63.8,86.19999
"2022-09-04 07:00:00",445,69739,25.27325,"2022-09-03 13:45:45",100,"2022-09-03 07:00:36",19.66579,"2022-09-04 05:21:21",90.258,"2022-09-03 13:56:54",1,1.8,2.2,6.000001,14.99999,43.8,83.19999
"2022-09-05 07:00:00",446,69739,31.63313,"2022-09-04 12:43:18",100,"2022-09-04 07:00:12",20.80437,"2022-09-05 05:37:15",56.50034,"2022-09-04 11:35:42",0.2,0.2,0.2,0.2,0.2,0.2,0.2
"2022-09-06 07:00:00",447,69739,28.14108,"2022-09-05 12:13:57",100,"2022-09-05 07:00:36",20.27934,"2022-09-06 05:40:27",69.12398,"2022-09-05 13:08:15",0.2,0.2,0.2,0.2,0.4,0.2,0.2
"2022-09-07 07:00:00",448,69739,31.91702,"2022-09-06 13:55:48",100,"2022-09-06 07:00:03",21.76744,"2022-09-06 07:02:33",57.47562,"2022-09-06 13:50:51",3,5.2,6.800001,10.2,12.19999,11.8,12
"2022-09-08 07:00:00",449,69739,30.21677,"2022-09-07 11:46:18",100,"2022-09-07 07:00:27",20.91732,"2022-09-08 05:24:09",69.35597,"2022-09-07 11:46:15",8.400001,11,11,11,15.99999,11,11.2
"2022-09-09 07:00:00",450,69739,32.5382,"2022-09-08 14:19:39",100,"2022-09-08 18:13:42",21.24851,"2022-09-09 03:08:48",51.62091,"2022-09-08 14:46:48",4.2,7.2,11.2,14.6,14.59999,14.6,14.6
"2022-09-10 07:00:00",451,69739,30.75097,"2022-09-09 11:39:36",100,"2022-09-09 07:00:27",21.49577,"2022-09-10 05:19:57",62.21768,"2022-09-09 11:38:45",10.2,15.6,20.4,24.2,27.80002,24.6,24.6
